Symbol,Date,Exchange,TOD,Volume
BHP,20140311,NASDAQ OMX PSX,Regular,15807
BHP,20140311,NASDAQ OMX PSX,Open,0
BHP,20140311,NASDAQ OMX PSX,After-Hours,0
BHP,20140311,NASDAQ OMX PSX,Close,0
BHP,20140311,Chicago,Regular,5000
BHP,20140311,Chicago,Open,0
BHP,20140311,Chicago,After-Hours,0
BHP,20140311,Chicago,Close,0
BHP,20140311,National,Regular,1551
BHP,20140311,National,Open,0
BHP,20140311,National,After-Hours,0
BHP,20140311,National,Close,0
BHP,20140311,BATS Y,Regular,13498
BHP,20140311,BATS Y,Open,0
BHP,20140311,BATS Y,After-Hours,0
BHP,20140311,BATS Y,Close,0
BHP,20140328,NYSE Arca SM,Regular,125451
BHP,20140328,NYSE Arca SM,Open,300
BHP,20140328,NYSE Arca SM,After-Hours,12211
BHP,20140328,NYSE Arca SM,Close,200
BHP,20140328,FINRA,Regular,488998
BHP,20140328,FINRA,Open,0
BHP,20140328,FINRA,After-Hours,0
BHP,20140328,FINRA,Close,0
BHP,20140328,BATS,Regular,168806
BHP,20140328,BATS,Open,0
BHP,20140328,BATS,After-Hours,0
BHP,20140328,BATS,Close,0
BHP,20140328,Direct Edge X,Regular,63125
BHP,20140328,Direct Edge X,Open,0
BHP,20140328,Direct Edge X,After-Hours,0
BHP,20140328,Direct Edge X,Close,0
BHP,20140328,NASDAQ OMX,Regular,263154
BHP,20140328,NASDAQ OMX,Open,100
BHP,20140328,NASDAQ OMX,After-Hours,0
BHP,20140328,NASDAQ OMX,Close,67
BHP,20140328,Direct Edge A,Regular,53232
BHP,20140328,Direct Edge A,Open,0
BHP,20140328,Direct Edge A,After-Hours,0
BHP,20140328,Direct Edge A,Close,0
BHP,20140328,NYSE,Regular,430973
BHP,20140328,NYSE,Open,18075
BHP,20140328,NYSE,After-Hours,0
BHP,20140328,NYSE,Close,15453
BHP,20140328,BATS Y,Regular,21811
BHP,20140328,BATS Y,Open,0
BHP,20140328,BATS Y,After-Hours,0
BHP,20140328,BATS Y,Close,0
BHP,20140328,NASDAQ OMX PSX,Regular,3706
BHP,20140328,NASDAQ OMX PSX,Open,0
BHP,20140328,NASDAQ OMX PSX,After-Hours,0
